,disability,stayed_in_emergency_shelter,minority,hospitalized_due_to_malnutrition,marital_status,Gender,num_shelters_year,years_not_in_residence,Age,num_times_relocated_month,days_since_hot_meal,num_dependents,avg_meal_per_day
33,yes,no,no,no,single,female,5,1,56,15,183,1,1
34,yes,yes,yes,yes,married,female,7,14,37,11,218,3,0
35,yes,no,yes,no,married,female,4,8,30,10,270,3,1
36,yes,no,yes,no,married,male,1,10,24,5,223,1,1
37,no,yes,no,yes,single,female,6,11,19,15,556,2,1
38,no,yes,no,yes,married,other,7,4,21,14,155,1,0
39,yes,yes,no,no,single,other,6,11,29,19,368,3,0
40,no,no,yes,no,single,male,6,4,35,4,226,2,0
41,no,yes,no,no,single,other,1,11,58,5,151,2,1
42,no,no,yes,yes,single,female,1,3,60,16,47,3,1
43,no,yes,yes,yes,single,female,6,7,44,13,570,1,1
44,yes,no,no,no,married,female,4,9,33,15,44,0,0
45,no,no,yes,yes,married,male,3,2,20,5,210,1,0
46,yes,yes,no,no,married,male,10,7,32,18,557,3,1
47,yes,no,yes,yes,married,female,6,7,58,19,359,1,1
48,no,yes,no,no,single,female,7,3,58,18,219,3,0
49,yes,yes,no,yes,married,other,1,11,26,11,133,0,1
50,yes,no,yes,yes,married,male,3,15,24,19,350,1,0
51,yes,yes,no,no,single,female,2,15,45,6,286,3,0
52,no,no,yes,yes,single,female,10,4,28,9,227,3,0
53,no,no,no,no,married,female,8,7,59,18,510,0,0
54,yes,no,no,no,single,other,4,3,22,9,161,0,0
55,yes,yes,no,no,single,male,2,9,52,7,237,1,1
56,yes,yes,no,no,single,other,8,1,61,12,268,1,0
57,no,yes,no,no,single,female,9,4,61,11,202,3,1
58,no,yes,no,no,married,other,9,8,51,20,102,3,1
59,yes,yes,no,yes,married,female,4,1,19,19,544,1,1
60,yes,yes,no,yes,single,female,3,11,41,17,424,0,1
61,yes,yes,yes,yes,single,male,5,5,57,4,161,3,1
62,no,yes,no,yes,married,male,6,14,26,15,262,2,0
63,yes,yes,yes,no,single,other,1,10,44,11,70,0,1
64,yes,no,yes,no,married,other,3,5,32,8,154,0,1
65,no,no,yes,no,married,male,3,1,22,16,409,3,0
66,no,yes,no,yes,married,male,7,15,56,5,446,0,0
67,no,yes,yes,no,single,female,8,1,61,11,234,3,0
68,no,yes,yes,yes,married,other,3,13,37,7,404,0,1
69,yes,no,yes,no,married,female,10,3,64,18,60,1,0
70,no,yes,yes,yes,married,other,4,5,48,15,68,0,1
71,yes,yes,yes,no,single,female,6,12,43,15,370,3,1
72,yes,no,yes,no,married,female,1,9,45,7,73,3,1
73,yes,yes,no,yes,married,other,6,10,44,20,348,2,0
74,no,yes,yes,no,married,female,5,11,40,10,129,1,0
75,no,no,yes,yes,married,female,6,5,24,11,378,1,1
76,no,no,yes,no,married,other,1,11,42,12,291,3,0
77,yes,no,yes,yes,married,other,6,13,29,9,138,3,1
78,yes,yes,yes,yes,single,male,3,4,27,17,452,3,1
79,yes,yes,no,no,married,male,5,13,19,4,139,1,1
80,no,no,no,no,single,other,9,7,44,12,312,3,1
81,no,no,yes,no,single,male,3,12,59,15,415,0,1
82,no,no,yes,no,single,other,9,11,40,17,237,1,0
83,no,yes,no,yes,single,other,3,2,61,19,208,3,1
84,yes,no,no,no,single,male,1,15,62,13,264,1,1
85,yes,no,yes,yes,married,other,8,1,48,18,326,1,0
86,yes,yes,yes,no,married,male,8,11,46,16,254,3,1
87,no,yes,no,yes,single,male,4,10,60,17,198,2,0
88,no,yes,no,no,married,female,9,9,34,18,89,3,0
89,yes,yes,yes,yes,single,female,6,9,62,19,366,0,1
90,yes,yes,yes,yes,married,female,10,6,29,5,584,2,0
91,no,no,no,no,single,other,8,11,23,9,551,2,1
92,no,yes,yes,no,married,male,5,11,37,11,527,1,0
93,no,no,no,yes,single,other,7,8,64,5,561,2,0
94,yes,no,no,no,married,male,10,8,24,12,387,3,1
95,no,yes,no,no,married,male,3,15,36,4,161,1,0
96,no,yes,yes,no,married,other,10,14,20,9,406,2,0
97,yes,no,no,yes,married,other,7,6,65,8,295,1,1
98,no,yes,yes,no,married,other,3,9,39,17,156,0,0
99,no,yes,yes,no,single,other,1,6,55,19,418,3,0
100,no,no,yes,no,married,female,8,5,24,18,500,3,1
101,yes,no,yes,yes,married,female,10,1,50,14,287,2,1
102,yes,yes,no,yes,married,other,10,12,33,7,64,3,1
103,no,yes,no,yes,single,other,4,15,42,20,565,0,0
104,no,yes,yes,yes,single,female,6,7,62,16,83,2,1
105,no,no,no,no,married,other,2,15,60,18,465,1,0
106,yes,yes,yes,no,married,other,7,4,36,8,240,3,0
107,no,yes,yes,no,single,other,6,9,35,15,218,1,0
108,no,no,yes,yes,single,female,10,6,64,7,138,1,0
109,no,yes,no,yes,single,male,5,11,55,18,537,3,1
110,no,no,yes,yes,single,male,4,1,65,19,175,0,0
111,yes,no,yes,yes,single,male,1,6,28,6,256,1,1
112,no,no,no,no,married,other,6,3,64,9,532,0,0
113,yes,no,yes,no,married,male,3,2,55,7,330,3,0
114,no,yes,no,no,single,male,8,3,50,17,466,3,1
115,yes,yes,no,no,single,male,1,8,24,19,477,3,0
116,yes,yes,no,yes,single,female,8,13,18,15,163,1,1
117,no,yes,yes,yes,single,female,7,5,18,17,212,0,0
118,yes,yes,yes,yes,single,female,2,13,63,16,201,3,0
119,yes,yes,yes,yes,married,other,3,14,31,16,495,2,1
120,no,yes,yes,yes,single,male,9,6,21,20,67,0,0
121,yes,yes,yes,no,single,male,8,15,65,12,416,1,1
122,yes,no,no,no,single,male,1,8,40,14,289,3,1
123,yes,no,yes,no,married,other,6,10,22,12,491,0,0
124,no,no,no,yes,married,male,10,8,34,15,571,0,1
125,no,no,yes,yes,married,male,9,5,56,15,327,2,0
126,yes,yes,no,yes,single,male,5,6,21,8,181,0,0
127,no,yes,yes,yes,married,male,1,7,32,7,525,3,0
128,no,yes,yes,no,married,other,6,13,38,5,423,3,0
129,no,yes,yes,no,single,other,8,7,28,6,482,1,0
130,no,no,no,yes,married,male,6,11,53,17,446,3,1
131,no,no,yes,yes,married,female,8,9,21,12,170,1,0
132,no,yes,no,yes,single,female,9,13,19,12,56,1,0
133,no,yes,yes,no,married,other,6,2,41,9,33,2,0
134,no,no,yes,yes,married,other,10,12,21,13,478,3,1
135,yes,no,no,no,single,female,6,10,43,17,417,1,1
136,yes,no,no,no,married,other,5,8,63,16,579,0,1
137,no,no,no,yes,single,female,6,5,56,15,103,0,1
138,yes,no,yes,yes,married,male,4,3,65,16,150,2,1
139,yes,no,no,yes,married,female,2,3,45,10,593,0,0
140,no,no,yes,no,single,other,9,5,39,4,319,2,1
141,yes,no,yes,no,married,other,5,5,30,8,541,1,1
142,yes,no,no,no,married,other,4,8,62,14,486,0,0
143,no,no,no,no,married,male,10,13,27,4,260,2,0
144,no,no,no,no,single,female,7,6,45,13,291,0,1
145,yes,no,yes,yes,married,female,4,7,35,13,276,2,0
146,no,no,yes,no,single,female,9,9,36,11,365,1,1
147,yes,no,yes,no,single,female,3,3,22,4,46,2,1
148,yes,no,no,yes,single,male,3,6,24,6,162,3,0
149,yes,no,yes,no,single,other,3,1,51,4,137,2,0
150,no,no,no,yes,married,other,9,6,50,4,359,2,0
151,yes,yes,no,no,single,male,8,14,27,20,297,3,0
152,no,yes,no,no,single,other,2,3,28,14,155,3,1
153,yes,yes,yes,yes,married,other,6,1,58,6,425,2,1
154,no,no,yes,yes,single,other,6,7,29,11,452,1,0
155,no,no,yes,no,single,other,2,11,22,15,580,2,0
156,yes,yes,yes,yes,married,other,6,8,55,9,198,0,0
157,no,no,no,no,single,male,9,12,19,5,292,0,1
158,yes,yes,yes,no,single,other,8,7,39,15,311,3,0
159,yes,no,no,no,single,male,4,2,55,12,243,3,0
160,yes,no,yes,no,single,other,7,9,29,11,318,3,1
161,no,no,yes,yes,married,female,6,6,60,13,256,3,0
162,yes,no,yes,yes,married,female,4,14,51,16,427,2,0
163,yes,no,no,yes,single,other,5,10,22,9,77,0,1
164,no,no,yes,yes,married,male,2,10,65,10,65,2,1
165,no,yes,no,no,single,other,10,12,29,12,542,0,1
166,no,no,no,no,married,female,2,10,34,10,292,0,1
167,no,yes,yes,no,married,female,4,12,44,11,232,2,0
168,yes,no,yes,no,single,male,8,2,19,12,382,1,0
169,no,no,no,yes,single,male,7,4,39,5,483,1,1
170,no,yes,no,no,single,other,9,11,49,9,185,2,1
171,yes,yes,no,no,single,male,7,12,24,8,523,1,0
172,yes,no,yes,yes,married,female,3,12,26,18,402,1,1
173,yes,no,yes,no,married,male,7,10,54,15,344,3,1
174,no,yes,yes,yes,married,other,9,1,36,20,331,3,0
175,no,no,yes,yes,married,female,1,6,52,7,143,1,0
176,no,yes,no,yes,married,male,2,5,32,13,384,2,1
177,yes,yes,yes,yes,married,female,1,10,23,16,251,3,1
178,yes,no,no,yes,married,other,4,6,40,9,157,1,0
179,no,yes,no,yes,married,male,4,15,21,10,109,0,0
180,yes,yes,yes,no,married,male,2,7,27,9,236,3,1
181,yes,yes,yes,no,married,female,4,11,29,14,141,0,0
182,no,no,yes,yes,single,other,9,7,23,17,342,0,1
183,no,no,yes,yes,single,other,9,3,58,16,259,0,0
184,no,no,yes,yes,married,other,3,2,54,8,403,2,0
185,no,yes,no,yes,married,male,10,1,40,8,318,0,1
186,no,no,no,yes,single,male,10,3,19,20,594,3,1
187,yes,no,no,yes,single,female,2,6,21,8,308,3,1
188,no,no,no,yes,single,male,1,7,63,10,164,3,0
189,no,no,yes,yes,married,other,10,14,60,19,150,2,1
190,no,no,no,no,married,female,2,15,38,13,246,2,1
191,no,yes,no,no,single,male,8,7,37,14,380,1,0
192,no,no,yes,yes,married,male,5,2,63,5,549,1,1
193,no,yes,yes,no,single,other,2,6,50,20,280,0,1
194,no,no,yes,yes,married,male,3,12,35,4,541,2,1
195,no,no,yes,no,single,male,7,15,25,15,179,1,1
196,no,yes,yes,yes,single,other,9,15,51,18,162,0,0
197,no,yes,no,no,married,male,9,7,45,6,598,3,0
198,no,no,yes,yes,married,other,9,8,23,5,339,0,0
199,no,no,no,no,married,other,5,10,63,7,314,3,1
200,no,yes,no,yes,single,male,7,3,54,16,268,0,0
201,no,yes,no,yes,single,other,7,2,24,13,249,3,1
202,yes,no,yes,no,single,male,8,4,38,8,133,2,0
203,no,no,yes,yes,single,other,5,13,54,7,369,3,1
204,no,no,yes,no,married,male,8,10,44,6,48,3,1
205,yes,no,yes,no,single,male,2,13,39,5,189,3,0
206,no,yes,no,no,married,male,7,8,54,18,61,2,1
207,yes,yes,yes,no,married,other,7,4,28,5,500,1,0
208,no,no,no,no,married,other,7,6,33,15,139,3,1
209,yes,yes,no,yes,married,female,4,5,31,4,120,0,1
210,no,yes,no,no,single,female,6,10,25,17,144,1,0
211,no,no,yes,yes,married,male,5,14,57,8,221,2,1
212,yes,yes,yes,yes,married,female,5,4,57,7,34,0,0
213,no,yes,yes,no,single,male,1,10,33,8,224,2,1
214,no,yes,no,yes,single,male,6,2,56,10,115,3,1
215,no,no,yes,yes,single,male,9,10,41,20,327,1,1
216,yes,yes,no,no,single,male,4,14,32,12,89,2,1
217,yes,yes,no,no,single,male,5,7,60,14,586,2,0
218,yes,yes,yes,yes,married,other,5,10,42,13,247,3,1
219,no,no,yes,no,single,male,6,2,59,7,105,3,0
220,yes,no,no,no,single,male,10,3,32,6,342,3,1
221,yes,yes,yes,yes,married,male,4,5,51,20,483,3,0
222,yes,no,yes,yes,married,female,9,1,27,6,315,2,0
223,yes,no,yes,yes,married,male,5,8,57,11,466,0,0
224,no,yes,no,yes,married,other,7,5,55,4,395,1,0
225,yes,no,yes,no,married,male,6,5,29,19,51,3,0
226,no,no,no,no,married,other,10,6,63,18,423,2,0
227,yes,yes,yes,no,married,other,8,11,46,11,302,0,1
228,no,yes,yes,no,married,other,6,4,57,11,507,3,0
229,yes,yes,no,yes,married,male,4,13,32,16,482,3,1
230,no,yes,no,yes,married,other,3,14,22,14,422,1,1
231,yes,no,no,no,married,other,8,14,49,10,301,1,1
232,no,yes,no,yes,married,male,10,15,55,13,229,1,0
233,yes,yes,yes,yes,married,male,8,1,48,17,282,2,0
234,yes,no,no,no,single,male,3,13,24,5,564,0,1
235,yes,no,yes,no,single,female,8,6,41,19,326,2,1
236,no,no,no,no,married,other,7,15,46,9,541,3,0
237,no,no,yes,yes,married,other,8,11,44,17,42,3,0
238,no,yes,no,no,single,other,6,13,60,20,201,1,1
239,yes,no,yes,yes,married,female,4,7,37,8,364,2,0
240,yes,yes,yes,no,married,female,9,8,55,12,289,3,0
241,yes,yes,no,yes,married,female,2,8,58,10,220,1,0
242,no,yes,yes,no,married,other,1,7,40,8,535,0,1
243,yes,no,no,no,single,female,3,12,52,20,485,0,1
244,yes,no,no,yes,married,female,2,6,62,14,253,2,0
245,no,no,no,yes,married,female,1,12,51,6,207,0,1
246,yes,no,no,no,single,female,8,4,21,19,228,2,1
247,no,yes,yes,yes,married,male,6,3,30,12,402,1,1
248,no,yes,no,yes,married,male,9,8,23,18,496,3,1
249,no,no,yes,no,married,other,7,15,46,16,31,3,0
250,yes,yes,no,no,married,male,7,7,35,12,33,2,0
251,yes,no,yes,yes,single,other,6,6,56,12,524,1,0
252,no,yes,yes,yes,single,other,8,1,62,5,192,0,1
253,no,yes,yes,yes,single,female,9,8,40,11,590,2,1
254,no,no,yes,yes,married,male,1,8,18,13,422,0,0
255,no,yes,no,no,single,female,8,6,31,16,255,0,1
256,yes,no,no,no,married,male,8,1,41,11,44,3,0
257,no,no,yes,no,single,other,6,11,64,9,137,0,0
258,no,no,no,no,single,male,4,10,42,7,507,3,0
259,no,no,no,no,single,other,8,11,65,9,599,3,1
260,no,yes,no,no,married,male,4,12,38,13,234,3,0
261,no,yes,no,yes,single,other,8,13,28,13,467,1,0
262,yes,yes,no,no,married,male,2,8,43,8,504,3,0
263,yes,yes,no,yes,married,other,6,6,30,16,122,3,0
264,no,yes,no,yes,married,female,5,5,52,19,176,3,0
265,yes,no,no,yes,single,female,10,5,65,13,414,2,1
266,yes,no,no,yes,single,other,3,15,26,15,99,2,1
267,yes,yes,no,yes,married,female,10,7,44,4,567,0,1
268,yes,no,no,yes,married,female,5,15,22,15,240,0,1
269,no,yes,no,no,single,female,6,2,39,19,135,1,1
270,no,yes,no,yes,single,other,8,3,65,9,213,3,0
271,no,yes,yes,no,single,male,3,3,42,12,217,2,0
272,yes,yes,no,yes,married,female,9,4,65,18,428,1,0
273,yes,no,yes,no,married,male,7,13,43,19,393,3,1
274,yes,yes,yes,yes,married,male,1,4,20,9,365,0,1
275,no,no,no,yes,single,male,8,4,19,17,248,3,0
276,yes,no,no,yes,married,other,10,7,35,15,340,0,1
277,yes,yes,no,yes,single,other,1,14,55,11,41,3,1
278,yes,yes,no,yes,married,male,7,11,20,4,112,1,1
279,yes,yes,no,yes,married,male,7,12,42,17,138,0,0
280,no,yes,no,no,married,male,3,11,37,8,500,1,0
281,yes,yes,yes,no,married,other,3,15,46,14,152,1,1
282,no,yes,no,no,married,other,2,8,22,14,212,2,0
283,yes,yes,no,no,single,female,6,13,28,9,555,2,1
284,no,no,yes,no,married,other,8,15,48,8,61,3,0
285,no,yes,no,no,single,female,3,12,62,8,319,0,1
286,yes,no,no,yes,married,female,3,5,34,11,540,0,1
287,no,yes,yes,no,married,female,5,6,31,10,107,0,1
288,yes,yes,no,yes,single,female,9,11,45,6,316,3,1
289,no,yes,no,yes,single,male,10,2,47,5,61,2,0
290,yes,no,yes,yes,married,male,7,3,20,20,238,1,1
291,yes,yes,yes,yes,married,female,2,9,26,16,159,0,0
292,no,yes,yes,no,single,other,4,1,19,5,189,0,0
293,no,no,no,yes,married,male,1,11,53,16,97,0,0
294,no,no,no,yes,single,male,7,2,28,12,394,2,1
295,yes,yes,yes,yes,single,male,3,6,65,19,311,1,0
296,yes,no,yes,no,single,other,5,2,24,4,253,0,0
297,yes,yes,yes,yes,single,female,6,10,42,12,502,2,0
298,no,yes,no,no,single,male,7,3,34,9,88,2,1
299,yes,yes,no,yes,single,male,7,13,30,10,161,1,1
300,no,no,yes,yes,married,male,9,8,30,6,243,1,1
301,yes,yes,no,no,single,female,7,7,43,13,346,0,1
302,no,no,no,no,single,female,9,12,24,14,425,0,1
303,yes,no,yes,no,single,male,6,1,18,18,251,2,0
304,yes,yes,yes,yes,single,other,4,15,21,8,90,0,0
305,yes,no,yes,yes,married,male,5,10,49,11,302,0,1
306,no,yes,no,yes,single,female,4,14,40,4,245,1,1
307,no,yes,no,no,married,female,5,9,48,13,542,3,1
308,no,no,yes,no,single,male,1,7,42,19,286,1,0
309,yes,yes,no,no,single,other,6,13,27,14,359,1,0
310,no,no,no,yes,married,other,8,15,59,4,172,0,1
311,no,no,yes,no,single,female,1,12,53,10,577,0,1
312,yes,yes,no,yes,single,male,2,11,21,10,492,1,1
313,no,no,yes,yes,married,other,4,13,23,15,78,3,0
314,yes,yes,no,yes,married,other,2,4,44,10,283,3,0
315,yes,no,yes,no,single,female,2,15,47,6,90,1,0
316,no,yes,no,yes,married,female,8,2,60,5,379,0,1
317,yes,no,no,yes,single,male,2,3,59,16,151,1,0
318,yes,no,no,yes,married,female,10,11,55,20,385,0,0
319,no,no,yes,yes,single,other,9,8,35,5,438,0,1
320,yes,yes,yes,yes,married,male,8,8,34,7,243,0,1
321,no,no,no,yes,single,other,3,15,59,6,54,3,1
322,yes,no,no,yes,single,female,4,13,29,9,413,2,0
323,no,no,yes,no,married,female,2,3,52,8,357,0,1
324,no,yes,yes,no,single,female,6,8,53,5,237,0,1
325,yes,no,yes,no,single,female,9,7,31,4,521,2,0
326,yes,yes,no,no,single,other,7,4,31,13,588,0,1
327,yes,yes,yes,yes,single,other,6,6,62,8,436,1,1
328,yes,yes,no,yes,single,female,9,9,60,11,461,3,0
329,no,yes,yes,yes,single,female,2,7,32,6,259,2,0
330,yes,no,no,yes,single,other,3,9,57,9,478,0,0
331,yes,no,yes,yes,married,female,5,14,54,20,166,1,1
332,no,no,no,yes,single,male,4,1,47,12,90,2,0
333,no,yes,yes,yes,married,female,6,6,28,9,138,0,1
334,yes,no,no,no,single,female,9,14,31,20,498,0,1
335,yes,no,no,yes,married,other,7,9,33,5,511,0,1
336,no,yes,no,no,single,other,4,15,37,13,327,1,1
337,no,no,no,no,single,male,10,9,63,9,466,0,0
338,no,yes,no,no,married,male,9,1,44,7,51,2,0
339,yes,yes,no,no,single,male,6,12,43,7,204,2,1
340,yes,yes,no,yes,married,other,9,1,51,17,369,2,0
341,yes,no,no,yes,married,male,10,12,49,20,366,0,0
342,yes,no,no,yes,single,other,10,11,29,12,287,0,0
343,no,yes,no,yes,married,female,1,1,43,14,319,0,0
344,yes,no,no,yes,single,other,5,9,65,18,489,2,0
345,yes,yes,yes,yes,married,other,1,9,55,18,578,3,0
346,yes,yes,no,yes,single,male,7,12,57,5,489,1,1
347,no,yes,yes,yes,single,female,5,15,29,8,96,1,0
348,no,yes,no,yes,married,female,6,13,58,20,470,3,1
349,yes,no,no,no,single,other,5,10,64,16,529,0,0
350,yes,no,yes,yes,single,female,4,4,58,14,520,2,0
351,yes,no,no,no,married,female,10,11,63,4,194,2,1
352,yes,yes,no,no,married,other,8,2,30,8,511,2,0
353,yes,yes,yes,no,married,other,6,10,55,4,197,0,1
354,yes,yes,yes,no,single,male,3,9,51,11,95,3,1
355,yes,yes,no,yes,married,female,2,1,40,16,359,0,1
356,yes,yes,yes,yes,married,other,9,9,59,9,304,0,0
357,no,no,no,no,single,other,3,13,51,20,492,1,1
358,yes,yes,yes,yes,single,male,5,11,26,7,37,1,0
359,yes,no,no,yes,single,female,2,3,19,9,143,2,1
360,no,no,yes,yes,married,female,6,7,22,12,483,3,1
361,yes,no,yes,yes,single,male,2,14,22,16,241,3,1
362,no,no,yes,no,married,male,3,10,39,18,440,0,1
363,yes,yes,no,no,married,female,8,7,59,8,343,0,0
364,yes,yes,no,no,married,male,3,3,48,10,365,0,1
365,yes,yes,no,yes,single,female,8,7,44,16,381,2,1
366,no,no,yes,no,married,other,7,8,28,11,517,0,0
367,no,yes,yes,no,single,female,2,4,22,11,42,2,0
368,no,no,no,no,married,male,3,6,29,6,315,3,0
369,no,yes,yes,no,single,other,3,13,23,6,292,0,1
370,yes,yes,no,yes,married,male,7,13,60,15,569,0,1
371,yes,no,yes,yes,single,other,8,4,28,17,75,1,0
372,no,yes,no,yes,single,male,6,12,40,17,354,1,0
373,no,yes,no,no,single,female,5,3,48,11,411,3,0
374,no,yes,no,yes,married,other,9,10,55,8,441,1,0
375,no,no,no,no,married,male,1,8,60,5,286,1,1
376,yes,no,yes,no,married,male,3,3,48,8,370,3,0
377,yes,yes,no,no,single,other,4,9,28,7,62,2,1
378,no,no,yes,no,married,male,8,9,33,12,153,1,1
379,no,yes,yes,yes,single,other,4,6,51,20,162,0,0
380,yes,yes,yes,yes,married,other,3,2,63,6,260,0,0
381,yes,no,yes,yes,married,female,8,15,54,20,224,1,0
382,no,no,no,yes,single,female,10,12,40,20,343,2,1
383,yes,no,yes,no,single,female,5,2,47,15,191,2,1
384,yes,no,yes,no,married,female,1,5,19,17,207,0,0
385,no,no,yes,yes,married,female,6,12,50,4,394,3,0
386,yes,no,yes,yes,single,other,8,11,38,7,526,3,1
387,no,no,yes,yes,single,other,10,6,22,14,267,0,1
388,yes,no,no,yes,married,other,5,2,33,14,32,1,0
389,yes,no,no,no,married,female,10,13,18,4,182,2,1
390,yes,yes,yes,no,married,female,3,10,46,12,150,3,1
391,no,yes,no,no,single,other,9,13,39,18,468,3,1
392,no,yes,yes,no,married,other,8,3,44,17,536,1,1
393,yes,no,no,no,single,female,9,6,30,11,238,2,1
394,no,yes,yes,no,married,male,10,6,34,13,441,0,1
395,no,yes,no,no,single,other,3,11,35,9,291,3,1
396,yes,no,yes,no,married,other,7,7,31,20,247,3,1
397,yes,no,yes,yes,married,male,1,6,50,19,280,1,1
398,yes,no,no,no,married,other,1,11,47,18,489,1,1
399,yes,yes,no,no,single,female,6,6,49,13,491,0,0
400,yes,yes,yes,no,single,female,4,5,44,14,231,1,0
401,yes,no,no,yes,single,male,10,2,43,5,432,2,0
402,yes,yes,no,yes,single,male,5,15,25,12,392,3,0
403,yes,yes,no,yes,single,other,5,4,27,5,423,2,0
404,no,yes,no,no,single,other,1,8,56,16,47,1,1
405,no,yes,no,yes,married,female,6,10,53,15,100,3,1
406,yes,yes,no,yes,single,male,3,10,49,6,79,0,0
407,yes,yes,yes,yes,married,female,10,14,33,5,583,2,0
408,no,yes,no,yes,single,female,8,2,18,18,108,0,1
409,yes,no,yes,yes,single,female,1,12,60,5,471,3,0
410,no,no,no,yes,married,male,5,8,24,15,556,2,0
411,no,yes,no,no,married,female,6,15,31,17,446,1,1
412,no,yes,yes,no,single,other,4,7,25,11,512,3,0
413,no,no,no,yes,single,male,4,4,44,13,149,3,1
414,yes,yes,yes,yes,single,female,7,1,38,6,296,3,1
415,yes,no,no,yes,married,other,3,1,35,9,84,0,1
416,yes,yes,no,yes,married,female,8,4,29,20,128,3,0
417,no,yes,no,no,single,female,5,4,34,16,438,2,1
418,yes,no,yes,yes,single,male,9,11,60,13,480,1,0
419,no,yes,no,yes,single,female,9,6,62,11,447,1,0
420,yes,no,yes,yes,single,other,1,3,21,6,95,0,1
421,no,yes,yes,yes,married,other,1,13,24,20,472,0,0
422,no,no,no,no,single,other,10,12,23,19,158,1,1
423,yes,no,no,yes,married,female,4,5,51,8,491,3,0
424,yes,yes,yes,yes,single,male,10,3,43,9,208,3,1
425,no,yes,no,yes,married,other,8,9,41,5,144,1,1
426,no,no,yes,no,single,male,2,9,21,12,146,0,1
427,yes,no,no,yes,married,female,7,7,18,13,113,1,1
428,no,yes,yes,no,single,female,1,4,55,15,479,3,0
429,no,yes,yes,no,married,male,2,6,56,9,270,0,1
430,yes,yes,yes,yes,married,male,5,2,30,4,303,3,1
431,no,yes,no,no,married,male,9,10,24,8,319,2,1
432,no,no,no,no,married,female,6,7,37,7,76,3,1
433,no,yes,no,yes,married,female,4,13,28,7,314,1,1
434,yes,yes,yes,no,single,male,8,15,54,10,242,2,0
435,no,yes,yes,no,married,other,8,3,19,6,399,1,0
436,no,no,no,yes,single,male,3,6,37,11,328,3,1
437,yes,yes,yes,yes,married,male,1,9,34,9,293,1,1
438,yes,no,yes,no,single,male,2,2,29,13,160,2,1
439,no,no,yes,yes,married,female,4,7,32,16,264,3,1
440,yes,no,yes,yes,married,other,7,2,61,8,344,3,0
441,no,no,no,no,married,male,3,14,34,18,93,1,0
442,yes,no,yes,no,married,male,9,15,40,4,289,1,0
443,no,no,no,yes,single,other,8,13,56,6,515,3,0
444,yes,no,yes,no,married,female,1,11,39,6,147,2,1
445,yes,no,yes,no,married,other,3,6,46,14,65,2,0
446,yes,no,yes,yes,married,female,2,14,35,13,291,1,0
447,yes,yes,no,yes,married,other,10,12,32,7,513,1,0
448,yes,no,no,no,married,male,5,6,45,16,159,0,0
449,no,yes,no,yes,married,male,1,3,59,7,447,2,1
450,no,no,yes,yes,single,other,1,2,32,14,330,2,0
451,yes,yes,no,no,single,female,1,1,29,6,38,1,0
452,no,yes,no,yes,married,female,7,11,39,9,355,2,0
453,yes,yes,yes,yes,married,other,1,1,63,8,458,0,0
454,yes,no,no,yes,single,female,4,10,20,14,147,0,0
455,yes,yes,no,no,married,other,1,3,57,18,318,1,0
456,no,yes,yes,no,married,other,1,2,39,4,513,3,0
457,no,no,yes,no,married,female,5,11,28,14,444,3,0
458,no,no,yes,yes,married,other,9,6,31,13,223,0,0
